epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,339.803,0.98314,2.51852,1.45647,0.52149,0.45924,0.48162,0.32026,1.1052,1.53191,1.59998,0.00998628,0.00332876,0.00998628,0.00332876,0.00998628,0.00332876,0.00998628,0.00332876
2,651.715,0.93736,1.5632,1.37463,0.43805,0.5133,0.46173,0.28305,1.26853,1.58509,1.84425,0.0197884,0.00659614,0.0197884,0.00659614,0.0197884,0.00659614,0.0197884,0.00659614
3,966.046,0.98292,1.51163,1.40554,0.35276,0.40175,0.33396,0.17621,1.58761,2.04154,2.27315,0.0293926,0.00979752,0.0293926,0.00979752,0.0293926,0.00979752,0.0293926,0.00979752
4,1279.15,0.96802,1.44592,1.39335,0.54178,0.60081,0.59588,0.41021,1.12454,1.215,1.6291,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1593.24,0.90929,1.31924,1.35008,0.6281,0.62036,0.68408,0.47225,1.07693,1.12952,1.61692,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1907.01,0.87886,1.24785,1.32716,0.65184,0.66302,0.69962,0.50351,1.02504,1.07515,1.54034,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2221.05,0.86354,1.20822,1.31381,0.69604,0.6548,0.75001,0.55502,0.98788,0.96084,1.46561,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2534.28,0.8484,1.17293,1.30329,0.68769,0.70751,0.76914,0.57655,0.95701,0.87512,1.42549,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2848.81,0.83746,1.15355,1.29529,0.71032,0.71727,0.79246,0.59748,0.94386,0.87041,1.42049,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3163.02,0.83496,1.13015,1.29213,0.69937,0.74441,0.79543,0.60144,0.94811,0.83668,1.43709,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3476.56,0.82385,1.113,1.28385,0.75968,0.72085,0.8043,0.61059,0.94335,0.81992,1.42094,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3790.04,0.81335,1.09565,1.27678,0.72894,0.74428,0.81296,0.6196,0.91351,0.80655,1.38375,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4104.17,0.81149,1.08649,1.27443,0.74925,0.74009,0.8214,0.62786,0.89669,0.77772,1.36431,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4418.11,0.80639,1.06836,1.27238,0.76987,0.74537,0.8315,0.63468,0.89869,0.75058,1.36922,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4731.9,0.8024,1.06622,1.26891,0.75047,0.7591,0.82767,0.63196,0.89488,0.76303,1.35563,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5045.42,0.8005,1.05713,1.26746,0.75117,0.76404,0.82689,0.6355,0.8898,0.75277,1.35601,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5358.44,0.79951,1.04895,1.26569,0.74644,0.78802,0.8346,0.64321,0.88129,0.74192,1.34677,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5671.81,0.7982,1.04264,1.26671,0.75141,0.78498,0.83608,0.647,0.88286,0.72488,1.3494,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5988.62,0.79149,1.02966,1.26214,0.75409,0.78244,0.83948,0.64853,0.88592,0.71609,1.35655,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6303.86,0.78928,1.02802,1.25906,0.75884,0.78802,0.83994,0.64798,0.88118,0.71548,1.35166,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6620.43,0.78921,1.0261,1.25896,0.75732,0.7884,0.84139,0.65235,0.87557,0.71287,1.34773,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
