epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,622.953,0.99768,2.35608,1.45993,0.34961,0.55569,0.39883,0.23562,1.24598,1.6956,1.84351,0.00999507,0.00333169,0.00999507,0.00333169,0.00999507,0.00333169,0.00999507,0.00333169
2,1135.9,0.97114,1.55618,1.40281,0.46281,0.53008,0.49384,0.32283,1.1875,1.4446,1.71462,0.0197971,0.00659904,0.0197971,0.00659904,0.0197971,0.00659904,0.0197971,0.00659904
3,1558.95,0.99794,1.52416,1.41835,0.44124,0.57594,0.50193,0.3129,1.22789,1.43852,1.80868,0.0294012,0.00980039,0.0294012,0.00980039,0.0294012,0.00980039,0.0294012,0.00980039
4,1979.8,0.97898,1.47164,1.4031,0.60188,0.60256,0.65961,0.46078,1.05709,1.10593,1.57848,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2401.21,0.92066,1.3549,1.36025,0.66612,0.65855,0.72202,0.53137,0.98047,0.99224,1.48233,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2821.99,0.89231,1.28459,1.3383,0.68456,0.69153,0.75226,0.55553,0.96777,0.91827,1.46223,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3245.48,0.86924,1.2415,1.32164,0.6907,0.7118,0.76577,0.56732,0.94102,0.90219,1.43347,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3667.3,0.85958,1.20652,1.31293,0.73231,0.71882,0.79472,0.59374,0.93367,0.855,1.42202,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4090.07,0.84482,1.18054,1.30285,0.75447,0.70249,0.79617,0.60207,0.9149,0.83262,1.40271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4512.25,0.83991,1.15771,1.29892,0.72501,0.72523,0.80031,0.61032,0.90253,0.81958,1.38215,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4934.46,0.82949,1.14143,1.2924,0.73946,0.73237,0.81063,0.62127,0.89647,0.80435,1.38017,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
