epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,283.131,0.99604,2.65128,1.45891,0.34263,0.48069,0.39847,0.24739,1.2019,1.73576,1.71662,0.00998628,0.00332876,0.00998628,0.00332876,0.00998628,0.00332876,0.00998628,0.00332876
2,559.864,0.94334,1.76266,1.37285,0.4297,0.50381,0.43085,0.27035,1.2656,1.72798,1.84124,0.0197884,0.00659614,0.0197884,0.00659614,0.0197884,0.00659614,0.0197884,0.00659614
3,837.093,0.97725,1.54823,1.39481,0.45921,0.42328,0.40783,0.25366,1.30288,1.80722,1.85569,0.0293926,0.00979752,0.0293926,0.00979752,0.0293926,0.00979752,0.0293926,0.00979752
4,1113.35,0.96392,1.44363,1.38505,0.52528,0.59565,0.60872,0.40859,1.15268,1.24174,1.62995,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1390.58,0.90998,1.31895,1.34556,0.57354,0.66076,0.67376,0.4604,1.09715,1.14253,1.57432,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1666.59,0.87915,1.24616,1.32411,0.67421,0.66274,0.73963,0.53674,1.01009,0.98816,1.47962,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1942.2,0.86259,1.20223,1.31126,0.66077,0.7237,0.75598,0.55594,0.98943,0.92186,1.44881,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2219.33,0.85135,1.17132,1.30335,0.6896,0.71193,0.7689,0.56094,0.98771,0.91147,1.45002,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2497.08,0.83778,1.14947,1.29499,0.72814,0.70222,0.78867,0.59202,0.93153,0.86568,1.40041,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2774.46,0.83376,1.13213,1.29035,0.72544,0.71868,0.7973,0.59857,0.93802,0.8465,1.40053,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3051.89,0.82402,1.1132,1.28347,0.72958,0.72467,0.79567,0.59871,0.93206,0.84689,1.39259,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3330.39,0.81656,1.09386,1.278,0.71788,0.75809,0.80968,0.61135,0.90656,0.82404,1.36567,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3608.34,0.81219,1.08638,1.27403,0.7695,0.74028,0.82034,0.62247,0.89775,0.79997,1.35282,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3885.97,0.80965,1.06897,1.27348,0.75971,0.75079,0.82564,0.62934,0.89951,0.78014,1.3575,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4163,0.80314,1.06549,1.26917,0.77103,0.74158,0.83231,0.63582,0.89465,0.76703,1.34587,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4440.75,0.8001,1.05243,1.26682,0.77269,0.74555,0.83441,0.63856,0.89192,0.76,1.34721,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4719.64,0.79901,1.04597,1.26416,0.79531,0.74974,0.8405,0.64564,0.88201,0.74575,1.33816,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4998.53,0.80029,1.04467,1.26675,0.77711,0.768,0.84598,0.64925,0.87753,0.73304,1.33126,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5276.63,0.79061,1.02896,1.26084,0.77034,0.79378,0.8474,0.65024,0.87225,0.72964,1.32799,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5554.57,inf,1.02735,1.2599,0.77326,0.78593,0.84935,0.65316,0.87122,0.72686,1.32766,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5833.47,0.79022,1.02575,1.25905,0.79004,0.77926,0.8517,0.65481,0.86706,0.72193,1.32438,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6111.97,0.78451,1.01212,1.25557,0.8058,0.76867,0.85332,0.65656,0.86758,0.71912,1.32603,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6390.84,0.78663,1.00957,1.25586,0.80191,0.77405,0.85536,0.65731,0.86689,0.71264,1.32539,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6669.56,0.78375,1.00437,1.25284,0.80019,0.78549,0.85653,0.65775,0.86676,0.70885,1.32467,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6947.06,0.77999,0.99961,1.25205,0.79282,0.79428,0.85665,0.65862,0.86664,0.7064,1.32394,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7224.83,0.78146,0.99671,1.25169,0.79,0.79236,0.85746,0.65934,0.86609,0.70572,1.32206,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7502.67,0.77622,0.98834,1.24933,0.77822,0.80283,0.85642,0.65888,0.86662,0.70204,1.32186,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7780.44,0.77468,0.98632,1.24779,0.78253,0.80199,0.85821,0.66045,0.86579,0.69991,1.32066,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8058.34,0.7758,0.98474,1.24938,0.7963,0.78566,0.85839,0.66091,0.86539,0.699,1.32038,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8337.33,0.77143,0.97806,1.24536,0.80269,0.78365,0.85891,0.66183,0.86515,0.69767,1.32031,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8616.21,0.76605,0.97688,1.24287,0.80533,0.78515,0.85823,0.66222,0.86401,0.69568,1.31895,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8894.78,0.76722,0.965,1.24388,0.80699,0.78187,0.85847,0.66312,0.86297,0.69431,1.3183,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9173.63,0.7711,0.96748,1.24568,0.80638,0.77658,0.85902,0.66338,0.86249,0.69257,1.31769,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9451.54,0.766,0.96453,1.24221,0.79594,0.79441,0.8604,0.66542,0.86175,0.69089,1.31705,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9729.53,0.76647,0.95784,1.24225,0.79773,0.79444,0.86154,0.66741,0.8616,0.68894,1.31663,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10007.9,0.76348,0.95181,1.23888,0.79639,0.79502,0.86325,0.6678,0.86128,0.68809,1.31595,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10286.3,0.7657,0.95365,1.24092,0.79467,0.79866,0.86415,0.66927,0.8613,0.68676,1.31573,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10563.3,0.765,0.94999,1.24097,0.7988,0.79485,0.86428,0.66903,0.86079,0.68707,1.31495,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10842,0.76362,0.94758,1.23892,0.79202,0.7994,0.86652,0.67014,0.85951,0.6863,1.31364,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11120.2,0.75923,0.94584,1.23708,0.78997,0.80098,0.86701,0.67127,0.85888,0.68451,1.31288,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11399.5,0.75681,0.94166,1.23561,0.7901,0.80339,0.86828,0.67209,0.85948,0.6834,1.31274,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11678,0.76102,0.93727,1.2372,0.7949,0.79978,0.86876,0.67238,0.85946,0.68153,1.31242,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11957.7,0.7526,0.93138,1.23251,0.79589,0.80069,0.86864,0.67254,0.85931,0.67947,1.31211,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12236.6,0.75374,0.92778,1.23222,0.81176,0.7882,0.86896,0.6736,0.85981,0.67864,1.31235,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12514.9,0.75269,0.93018,1.23319,0.81328,0.78618,0.8702,0.67346,0.8588,0.67649,1.31136,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12794,0.75136,0.92561,1.23198,0.81592,0.78338,0.87091,0.67421,0.85775,0.67477,1.31027,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13072.9,0.75217,0.92279,1.23058,0.81586,0.78735,0.87137,0.67493,0.85721,0.67361,1.30974,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13352.8,0.7506,0.91626,1.23012,0.81577,0.78757,0.87209,0.67569,0.85641,0.67168,1.30848,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13630.8,0.74739,0.91333,1.2281,0.81984,0.78722,0.87294,0.67734,0.85572,0.67132,1.30768,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13908.2,0.74955,0.91564,1.22911,0.82344,0.78909,0.87347,0.67707,0.85537,0.66932,1.30713,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14185,0.74848,0.91112,1.22772,0.83428,0.78613,0.87534,0.67804,0.85434,0.66809,1.30624,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14463.8,0.74523,0.90993,1.22647,0.8291,0.78981,0.87428,0.67878,0.85262,0.66718,1.3048,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14742.4,0.74337,0.90184,1.22559,0.82566,0.78957,0.87503,0.67984,0.85227,0.66704,1.30437,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15020.9,0.74035,0.90229,1.22449,0.82476,0.79111,0.87524,0.68021,0.85156,0.66616,1.30359,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15299,0.74036,0.9,1.22266,0.82293,0.79225,0.8756,0.68054,0.85144,0.66489,1.30339,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15577.7,0.73868,0.89393,1.22187,0.8205,0.7936,0.87717,0.68041,0.85074,0.6627,1.30287,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15856.4,0.73709,0.89207,1.22211,0.81677,0.79838,0.87747,0.682,0.8506,0.66075,1.30302,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16135.6,0.73583,0.88911,1.22105,0.81908,0.80158,0.87736,0.68231,0.85069,0.65982,1.30274,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16414,0.73282,0.8809,1.21825,0.82322,0.79885,0.87721,0.68171,0.84996,0.65811,1.30211,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16692.3,0.73261,0.88238,1.21816,0.82564,0.79666,0.87646,0.68276,0.84957,0.6574,1.3019,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16971.4,0.72973,0.87829,1.21636,0.83072,0.78989,0.87641,0.6844,0.84864,0.65654,1.30134,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,17250.2,0.72906,0.87581,1.21689,0.83772,0.78721,0.8758,0.68488,0.84791,0.65529,1.30104,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17528.7,inf,0.86954,1.21504,0.84848,0.78429,0.87773,0.68473,0.84709,0.65315,1.30079,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17806.9,0.72455,0.86683,1.21329,0.84746,0.78279,0.87818,0.68565,0.8466,0.65203,1.3005,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18085.1,0.72749,0.86107,1.21614,0.84273,0.7858,0.87784,0.6851,0.84555,0.65008,1.29987,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18363.8,0.72414,0.85913,1.21245,0.84136,0.78886,0.87896,0.68538,0.84479,0.64778,1.2992,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18642.6,0.72365,0.86016,1.21202,0.84689,0.78572,0.87871,0.68618,0.8443,0.64564,1.29837,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18921.1,0.72061,0.84988,1.20963,0.83753,0.79512,0.8795,0.68728,0.84365,0.64416,1.29743,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19199.5,0.71985,0.84526,1.20924,0.83724,0.79304,0.87965,0.68702,0.844,0.64296,1.29752,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19479.9,0.71586,0.84358,1.20779,0.83496,0.80095,0.87961,0.68792,0.84327,0.64108,1.29665,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19759.9,0.71509,0.83865,1.2059,0.8328,0.80311,0.87993,0.68868,0.8427,0.63932,1.29583,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20037.9,0.71323,0.83694,1.2047,0.83208,0.80379,0.87994,0.68961,0.84231,0.63743,1.29513,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
